id,created_at,text
860108953488838656,2017-05-04 12:28:49,"Aetna 👎 $AET
https://t.co/TjtTpD5x9z"
850462921855344640,2017-04-07 21:38:56,"Hey there, friend! 🤖 @BOTUS https://t.co/K9bLh6id8m"
848216061228888064,2017-04-01 16:50:42,"Intel 👍 $INTC
https://t.co/GhxtFx44la"
846672251294384128,2017-03-28 10:36:09,"Ford 👍 $F
https://t.co/agbN2JXAu9"
845525476365893632,2017-03-25 06:39:17,"@Trump2Cash This tweet was delayed because of a bug, which is now fixed: https://t.co/0416X1bHHb"
845525371197939714,2017-03-25 06:38:52,"Charter Communications 👍 $CHTR $BRK.A $BRK.B
https://t.co/cCixb2Iz5k"
844716182515191809,2017-03-23 01:03:26,"Intel 👍 $INTC
https://t.co/MfyCyXJVII"
838960124983033857,2017-03-07 03:50:55,"ExxonMobil 👍 $XOM $BLK $PNC $STT
https://t.co/UOdy2NZgVr"
838959906304614404,2017-03-07 03:50:03,"ExxonMobil 👍 $XOM $BLK $PNC $STT
https://t.co/9tOtig7sZI"
838957441991630848,2017-03-07 03:40:15,"@Trump2Cash This tweet was delayed because of a bug, which is now fixed. Trading was not affected. Details: https://t.co/YCF15uxmYN"
838957378649255936,2017-03-07 03:40:00,"ExxonMobil 👍 $XOM $BLK $PNC $STT
https://t.co/vX8Suq8I0X"
838957199988662272,2017-03-07 03:39:18,"@Trump2Cash This tweet was delayed because of a bug, which is now fixed. Trading was not affected. Details: https://t.co/YCF15uxmYN"
838957149455695873,2017-03-07 03:39:06,"ExxonMobil 👍 $XOM $BLK $PNC $STT
https://t.co/16mSd3nJu9"
832554801061720064,2017-02-17 11:38:27,"Boeing $BA 👍
https://t.co/zWvoYICit9"
831979946805338112,2017-02-15 21:34:11,"Aetna $AET 👎
https://t.co/snPvW1j8PW"
831636809243254784,2017-02-14 22:50:41,"Humana $HUM ¯\_(ツ)_/¯
https://t.co/Q9IabHyjK6"
830047669682712576,2017-02-10 13:36:00,"The New York Times (The New York Times Company) $NYT 👎
https://t.co/guonn8npNG"
829550756218892288,2017-02-09 04:41:27,@Trump2Cash The bug causing this tweet to be delayed is now fixed: https://t.co/XLbkSPMbwC
829550611532111873,2017-02-09 04:40:52,"Nordstrom $JWN 👎
https://t.co/Zjn3XHh190"
829410157356478465,2017-02-08 19:22:45,"Intel $INTC 👍
https://t.co/I1io49QhFW"
828625281711644673,2017-02-06 15:23:56,https://t.co/irEfnksoZl
828574457794932736,2017-02-06 12:01:59,"American Broadcasting Company (The Walt Disney Company) $DIS 👎
https://t.co/TRBA5AlDxW"
826041417197719552,2017-01-30 12:16:35,"Delta Air Lines $DAL 👎
https://t.co/vLnLTS0kLy"
825853196400627713,2017-01-29 23:48:40,@Trump2Cash The bug that dropped General Motors and Lockheed Martin is now fixed. See benchmark: https://t.co/Z7dRFOcMWF
825852509440782336,2017-01-29 23:45:56,@Trump2Cash The bug causing this to read $TYT instead of $TM is now fixed. See benchmark: https://t.co/tFwYNMzl6R
824055975833280512,2017-01-25 00:47:09,"Ford $F 👍
General Motors $GM 👍
https://t.co/yRJb5DjLmO"
823985390906327040,2017-01-24 20:06:40,"Keystone Pipeline (TransCanada Corporation) $TRP ¯\_(ツ)_/¯
https://t.co/d07LHZCEW7"
821703922616143875,2017-01-18 13:00:56,"Bayer AG $BLK 👍
https://t.co/YPm30e9j3A"
821697203332710400,2017-01-18 12:34:14,"Ford $F 👎
https://t.co/grVq0eW1sU"
821415729329147904,2017-01-17 17:55:45,"General Motors $GM 👍
Walmart $WMT 👍
https://t.co/cg9rjdC4rY"
818461475782017026,2017-01-09 14:16:36,"Ford $F 👍
https://t.co/VC9IOihN55"
817071799795974144,2017-01-05 18:14:32,"Toyota $TYT
https://t.co/OOeQnRlaPl"
816635085482921985,2017-01-04 13:19:11,"Ford $F
https://t.co/WvciowYIaZ"
816324301661945856,2017-01-03 16:44:14,"Ford $F
https://t.co/vu2WI9HWD0"
816260349775069185,2017-01-03 12:30:07,"General Motors $GM
https://t.co/JjyRj3m2cE"
812769636420755456,2016-12-24 21:19:16,"Boeing $BA
https://t.co/HIH2XBxuu8"
